CaseID,Image_filename,Feature__0,Feature__1,Feature__2,Feature__3,Feature__4,Feature__5,Feature__6,Feature__7,Feature__8
102 Malignant,102 Malignant_roi.png,76357,105412,84945,357.77465539247646,279.82876180068985,0.6231066210568604,369.6281915655244,1253.9036790187179,0.8988992877744423
24 Benign,24 Benign_roi.png,6777,10165,7270,107.10766749729521,87.83621162107437,0.5722575123717665,110.86027241532469,353.7228714274745,0.9321870701513068
36 Benign,36 Benign_roi.png,21746,26565,22082,233.97542518912476,119.32725744287606,0.8601749315574684,238.66503723838562,609.5046173579948,0.9847839869577031
106 Malignant,106 Malignant_roi.png,50389,82360,55441,374.55452513960074,184.6822715508612,0.8699886242087627,374.0975808529106,1006.5655839020935,0.9088761025234032
23 Benign,23 Benign_roi.png,3991,5120,4219,82.852875765899,63.044847185279174,0.6488395237233475,87.46427842267951,263.29646455628165,0.945958757999526
34 Malignant,34 Malignant_roi.png,11064,22608,15186,142.49565961739663,118.32968026110287,0.5571542594116808,160.0312469488381,550.1320343559643,0.7285657842749901
38 Malignant,38 Malignant_roi.png,6908,9603,7580,108.38065576043665,85.41547571231084,0.615539184289819,118.3427226321923,361.4213562373095,0.9113456464379948
15 Malignant,15 Malignant_roi.png,84507,132704,93734,374.6097910409502,294.23709554371953,0.6189256730015031,416.14540727971513,1309.6021638285529,0.9015618665585593
44 Malignant,44 Malignant_roi.png,75193,127488,90579,349.74659270556174,284.2729405641923,0.5825471879429798,388.34649476981247,1384.2468247692254,0.8301372282758697
45 Benign,45 Benign_roi.png,31888,53040,35652,272.05560491164664,155.91189758176878,0.8194935897897093,285.5748588373984,829.6305550595491,0.8944238752384158
1 Benign,1 Benign_roi.png,91011,165072,129112,406.38609368536834,388.7491508880362,0.2914025293000269,508.4889379327735,1998.3443712397834,0.7048996220335833
78 Benign,78 Benign_roi.png,8168,10918,8785,108.43585647299608,98.7646746780589,0.4128214849050806,118.84864324004712,370.7228714274745,0.9297666476949346
99 Benign,99 Benign_roi.png,79797,100520,81240,365.8653169774067,278.7467265515471,0.6477141520021118,368.19560019098543,1097.6782822743016,0.9822378138847858
86 Malignant,86 Malignant_roi.png,140231,187734,151003,503.23547424166617,366.5716171065918,0.6851206553202738,498.9318590749643,1580.7392488184005,0.9286636689337298
5 Benign,5 Benign_roi.png,56153,77400,60080,416.76803110866973,180.83661306526236,0.900959922513909,432.04629381583635,1116.825468531916,0.9346371504660452
56 Malignant,56 Malignant_roi.png,83342,115239,93031,351.6160063825255,316.8766859082899,0.4334014446686966,386.4531019412317,1300.0874452027913,0.8958519203276327
96 Malignant,96 Malignant_roi.png,99572,175950,111246,406.5549773469156,332.20936633154116,0.5764496080459833,430.0941757336409,1488.780879378743,0.8950613954659044
31 Malignant,31 Malignant_roi.png,23984,41313,26599,276.9814340231882,116.4089271473958,0.907395856412731,294.63536787018626,743.1686142824235,0.9016880333847137
32 Benign,32 Benign_roi.png,66305,93860,71511,367.5048587182633,237.98234099450957,0.7620123971770107,373.36443322844775,1112.607214462436,0.9272000111870901
62 Benign,62 Benign_roi.png,224596,288450,228361,642.0599960232146,455.2032567594542,0.705235537510688,657.8024019414948,1893.0895372438445,0.9835129466064696
86 Benign,86 Benign_roi.png,131993,185452,134501,695.1367917682252,247.37014893191312,0.9345399507358869,665.8295577698545,1640.95750288788,0.9813532984884871
27 Benign,27 Benign_roi.png,13127,17280,13612,190.1752488941105,89.0932407851785,0.8834742691818646,193.8891435846783,491.4629867976521,0.96436967381722
6 Malignant,6 Malignant_roi.png,60084,86336,64702,299.3920733743533,265.4988779141986,0.4621662942271739,330.80054413498175,1064.9919907732865,0.9286266266885104
40 Benign,40 Benign_roi.png,5959,7018,6084,125.00810250862384,61.21187579504453,0.871911627164058,123.35720489699821,319.13098833543773,0.9794543063773833
88 Malignant,88 Malignant_roi.png,20146,26508,20847,183.11933527932004,144.3267534560252,0.6154744697714253,192.2082204277434,561.3452377915606,0.9663740586175469
37 Benign,37 Benign_roi.png,6892,9240,7442,125.65364991596208,72.18677439175839,0.8185115497856579,132.4235628579748,350.8944443027283,0.9260951357162053
68 Malignant,68 Malignant_roi.png,101055,153468,114684,422.56282891526314,331.3568199229487,0.6205588389078744,430.4427952701729,1391.8864350760148,0.8811604059851418
35 Benign,35 Benign_roi.png,51387,79182,55891,328.2938204163809,211.96233999845458,0.7636349261607678,345.11737133908514,1075.8204178980325,0.9194145747973734
4 Benign,4 Benign_roi.png,51591,70950,54970,339.8458578567032,201.76900131950737,0.8046810056860643,332.34018715767735,967.8731957466684,0.9385301073312716
60 Benign,60 Benign_roi.png,13287,18974,13937,182.61153657259402,97.97364619175119,0.8438914185378725,183.63550854886427,495.3269478283311,0.9533615555715004
107 Benign,107 Benign_roi.png,8947,10428,9157,162.43983068526026,72.10952960964293,0.8960687404599431,160.46183346827368,399.7228714274745,0.977066724909905
94 Benign,94 Benign_roi.png,7560,9215,7760,103.60314735477333,93.67707894687955,0.42712742908286183,108.85311203635843,334.8944443027283,0.9742268041237113
3 Malignant,3 Malignant_roi.png,29884,42188,35297,216.61287293578877,187.29092786893125,0.5024016944066559,239.57671005337727,863.97875144394,0.8466441907244242
42 Malignant,42 Malignant_roi.png,40350,64976,50709,257.895626595059,227.35241595508558,0.4720578915726806,302.03476621077914,1274.2051942088829,0.7957167366739633
58 Malignant,58 Malignant_roi.png,2101,3196,2268,74.46253595658364,37.32860978429003,0.8652693408796877,76.66159403508382,197.88225099390857,0.9263668430335097
100 Benign,100 Benign_roi.png,33424,43542,34471,257.43529434886625,168.3788387697981,0.7564402870542656,249.23081671414553,731.8721497261419,0.9696266426851556
104 Benign,104 Benign_roi.png,17141,26196,18447,236.040538301842,95.66287766138726,0.9141919146797398,243.48305895893455,599.303607231218,0.9292025803653711
20 Malignant,20 Malignant_roi.png,18763,27489,20027,182.89789089217513,133.75076664631175,0.6820703700336457,202.2325394193526,576.1320343559643,0.9368852049732861
39 Benign,39 Benign_roi.png,6738,10605,7226,127.15417741018935,71.74770179333193,0.8255988386226639,137.0,357.03657992645924,0.9324660946581788
53 Benign,53 Benign_roi.png,6145,8107,6249,117.79910701657117,67.34894521140022,0.8204438374273992,122.64175471673585,314.0071426749364,0.9833573371739478
106 Benign,106 Benign_roi.png,29064,35100,30378,289.0619944279228,133.2616043658074,0.8873929015748585,280.49242414011826,753.3208511739211,0.9567450128382382
7 Malignant,7 Malignant_roi.png,35715,65234,42122,300.1456080962745,169.41851342940308,0.8254642415950142,341.5333073069155,943.7371567773474,0.8478942120507098
46 Malignant,46 Malignant_roi.png,66402,107565,75586,349.85767191498974,280.443984585954,0.5978680976353007,373.1621631409058,1188.589970519733,0.8784960177810706
56 Benign,56 Benign_roi.png,6234,10541,6686,137.02981679553093,59.08436471614672,0.9022664585459726,137.23337786413333,353.32085117392114,0.9323960514507927
68 Benign,68 Benign_roi.png,10534,13968,11070,149.58505903197113,91.73680303455335,0.7898693319392109,148.92951352905172,422.2914139223983,0.9515808491418247
9 Malignant,9 Malignant_roi.png,39858,63984,46411,278.53897314203124,206.84177643859715,0.6697402370960112,316.6528067142308,1027.4528855298854,0.8588050246708755
26 Benign,26 Benign_roi.png,128791,196350,142014,479.22514130065497,355.79119760437965,0.6699234730746999,530.4865691042517,1644.638743755012,0.9068894616023773
2 Benign,2 Benign_roi.png,149992,255057,170836,601.8509849779292,346.7206921429673,0.8173858490029063,660.1833078774409,1830.2194795587554,0.877988246037135
108 Benign,108 Benign_roi.png,17302,21201,17843,197.34937881644595,112.34582402946903,0.8221480278705667,195.78048932414077,534.776695296637,0.9696799865493471
29 Benign,29 Benign_roi.png,9619,14934,11119,251.76090394047932,51.85828143109771,0.9785557246165675,262.6175927084855,593.5218613006979,0.8650957819947837
8 Benign,8 Benign_roi.png,81608,103617,84607,405.3715777822597,261.62650070673095,0.7638454326144352,402.0870552504768,1159.0924958366747,0.9645537603271597
44 Benign,44 Benign_roi.png,12226,16958,12591,140.19723451109732,114.55340712438101,0.5765136822691665,145.60219778561037,446.33304448274095,0.9710110396314828
79 Malignant,79 Malignant_roi.png,28224,63357,32717,462.9382971933412,82.67075376056245,0.9839256961857629,444.08332551448046,1017.269119345812,0.8626707827734816
81 Benign,81 Benign_roi.png,43462,57652,44103,298.784669507388,186.11392738149948,0.7822989203524172,300.46796834271703,822.9676041556468,0.9854658413259869
109 Benign,109 Benign_roi.png,17605,22176,17910,264.86390592495655,84.99395730158786,0.9471141950046271,265.2772134956186,624.2914139223983,0.9829704075935232
64 Benign,64 Benign_roi.png,24876,33550,25520,266.30520092272354,119.76953245608867,0.8931568158264064,281.9024654024863,690.9015869776647,0.9747648902821316
61 Benign,61 Benign_roi.png,10113,13392,10908,147.87480358323307,90.72975323116991,0.7896497383701518,147.29901561110313,423.27922061357856,0.9271177117711771
30 Malignant,30 Malignant_roi.png,15177,24570,16820,194.12872007860392,107.08728236202481,0.834088737469776,206.24257562394823,562.9015869776647,0.9023186682520808
70 Benign,70 Benign_roi.png,44880,66560,47612,307.1501824034059,189.44840156880613,0.7871245857650652,328.4448203275552,924.4884194358183,0.9426195076871376
72 Benign,72 Benign_roi.png,63540,95160,70843,349.38976952965834,243.49341088641808,0.7171580770532262,397.9208464003865,1132.8143212436225,0.8969128918876953
4 Malignant,4 Malignant_roi.png,44605,71760,52725,278.12826785679306,232.8017177354436,0.5471569214511843,300.53618750493257,1044.4650788387053,0.8459933617828355
107 Malignant,107 Malignant_roi.png,31700,49312,38199,284.76463182906895,168.69609023365823,0.8056400598823409,275.0781707078917,867.2102448427661,0.829864656142831
45 Malignant,45 Malignant_roi.png,27756,53720,30561,341.6099765463164,110.13986295466106,0.9465987361842838,339.45839214843403,822.2813126546316,0.9082163541768922
50 Benign,50 Benign_roi.png,57263,82280,59247,356.9949735843432,209.15292729442578,0.8104044774768223,371.6476826242833,994.364573775317,0.966513072391851
41 Benign,41 Benign_roi.png,12172,18800,13290,218.79259537974988,73.8647282119586,0.9412890980052673,205.44829033116824,520.1909088590099,0.9158765989465764
54 Benign,54 Benign_roi.png,19272,27566,19859,198.45275881121063,125.46443102326106,0.7747945625834322,207.03864373589778,569.7888886054566,0.9704416133742887
21 Benign,21 Benign_roi.png,8527,11703,9022,143.85871354638613,80.15086873433273,0.8304119352513663,142.55525244620065,394.79393923934,0.9451341166038573
9 Benign,9 Benign_roi.png,39242,48760,39988,289.260624308965,174.38219908408996,0.7978508067072678,288.277643947636,791.4873734152916,0.9813444033209963
60 Malignant,60 Malignant_roi.png,17516,25800,18249,322.4614446035997,70.5898378932523,0.9757451917895147,303.0659994126692,697.7411613907041,0.9598334155296181
123 Malignant,123 Malignant_roi.png,66607,100274,78636,379.9517940967168,239.1189735311116,0.777129844522488,389.53947168419273,1329.5788232314399,0.8470293504247418
77 Malignant,77 Malignant_roi.png,94739,118984,99874,465.72835268082014,271.4767889213156,0.8125381515495816,456.71106840101874,1309.9797974644666,0.9485852173738911
65 Malignant,65 Malignant_roi.png,66299,105468,76783,324.9450863040706,284.16921405206364,0.4849992351419072,377.73668077114246,1268.2051942088829,0.863459359493638
101 Benign,101 Benign_roi.png,23543,29440,23942,185.9402659190084,162.27306965327003,0.48822797233622073,189.84203960134857,593.1025971044414,0.9833347255868349
47 Malignant,47 Malignant_roi.png,50753,75600,56742,282.57844536652976,240.01881740576877,0.5277684752240135,321.95807180438885,974.4062043356594,0.894452081350675
72 Malignant,72 Malignant_roi.png,6215,7832,6367,97.68909503242037,82.26844556128752,0.5392501453246268,103.73041983911952,306.651803615609,0.9761269043505576
24 Malignant,24 Malignant_roi.png,10567,17538,12423,155.28946762098127,97.25804348401068,0.7795808451614603,164.28329190760695,472.14927829866735,0.8505996941157531
59 Benign,59 Benign_roi.png,7722,9983,7938,153.1091482875584,65.89390573397631,0.90265156911478,151.08275877809487,381.3797256769669,0.9727891156462585
5 Malignant,5 Malignant_roi.png,21955,33250,25339,236.70537873921896,130.5446321403573,0.8341703787636032,254.01771591761076,722.2741699796952,0.866450925450886
52 Malignant,52 Malignant_roi.png,39005,59829,44357,264.5053655061508,201.18325650255645,0.6492186883871695,284.59796204470615,898.3401871576774,0.8793426065784431
3 Benign,3 Benign_roi.png,84431,130975,99129,405.06336742410446,283.1084330219807,0.7151961300692038,441.9773749865484,1570.655987697715,0.851728555720324
98 Malignant,98 Malignant_roi.png,46623,71070,54315,323.7551200388356,199.90575759567506,0.7866024720667414,347.3110997362451,1010.3229432149742,0.8583816625241646
18 Benign,18 Benign_roi.png,6197,8909,6877,146.77166419090236,57.50551745638948,0.9200493107827278,152.31874474272692,380.2670273047588,0.9011196742765741
40 Malignant,40 Malignant_roi.png,101925,155310,118988,486.38617265905754,291.72528507256715,0.80016404898668,560.5301062387283,1776.4133470105958,0.8565989847715736
7 Benign,7 Benign_roi.png,46090,56980,47019,271.0835688969587,219.1055821136808,0.5888279005872183,275.9746365157494,829.4701294725885,0.9802420298177332
93 Malignant,93 Malignant_roi.png,11177,15808,11689,208.08629750428784,71.45370345101821,0.9391947477369861,211.26523613694707,500.73506473629425,0.9561981349987168
118 Malignant,118 Malignant_roi.png,68596,106080,72376,383.9926487912569,237.50968034179948,0.7857638345351694,403.1178487737798,1121.8031739553294,0.9477727423455289
73 Malignant,73 Malignant_roi.png,222205,325440,271113,634.4641459246709,524.1433083973884,0.5634947180295532,753.2595834106593,2787.6063479106588,0.8196028962093297
8 Malignant,8 Malignant_roi.png,73692,116883,86388,329.572219942996,307.38775862934716,0.36068652631688014,394.342490736162,1255.010280736516,0.853035143769968
67 Malignant,67 Malignant_roi.png,156199,238278,180529,510.18272286531675,417.82236821918303,0.5738418632974902,552.4717187331855,1924.2022356160528,0.8652294091254037
57 Benign,57 Benign_roi.png,17845,27950,20397,199.04531157986145,124.52835097644896,0.7801214085659436,215.75217264259473,617.7594513539337,0.8748835613080355
33 Malignant,33 Malignant_roi.png,20176,29550,24060,193.26832260681448,144.96125291814928,0.661379089422456,216.44860821913363,719.58787847868,0.8385702410640067
66 Benign,66 Benign_roi.png,198914,358200,240467,876.044981282902,321.3230313885311,0.930304443756113,998.9724720932004,2675.432682994352,0.8271987424469885
104 Malignant,104 Malignant_roi.png,203836,267424,214929,543.2060305735628,488.7289125207299,0.43648431178274694,575.72562909775,1851.9352083112935,0.9483876070702418
18 Malignant,18 Malignant_roi.png,132123,187458,147879,484.9651779361275,361.3697614097805,0.6669016038866273,511.2582517671475,1581.7209588551707,0.8934534315217171
21 Malignant,21 Malignant_roi.png,70847,97902,73597,358.60590401822725,262.88500405678974,0.6801478678818446,382.87334720505163,1096.607214462436,0.9626343465086892
80 Malignant,80 Malignant_roi.png,9357,13650,9842,143.40800515501505,88.02856919462847,0.7894358878372081,152.50573759698355,414.73506473629425,0.9507213980898191
91 Benign,91 Benign_roi.png,72427,96285,73848,399.0905127776896,232.38623817758798,0.8129814702466194,401.46357244462416,1090.6488450227787,0.9807577727223487
119 Malignant,119 Malignant_roi.png,44135,57000,47144,250.51423047450658,232.13322835732913,0.375982129641211,275.4941015702514,889.4701294725885,0.9361742745630409
95 Malignant,95 Malignant_roi.png,82702,154560,110283,417.98068921388125,305.8837670951138,0.6815053231597867,455.2669546540798,1551.082394568908,0.7499070572980423
74 Malignant,74 Malignant_roi.png,344628,443408,379277,899.6429048651044,508.73198664558964,0.8247605470333781,861.5149447339843,2735.388093841179,0.9086446053939469
41 Malignant,41 Malignant_roi.png,77595,178942,112572,575.4792809689025,220.13492606328447,0.9239453471066051,666.2469512125365,1743.827560572969,0.6892921863340795
87 Benign,87 Benign_roi.png,74830,112420,79403,357.39310061808806,276.49978171265974,0.6336042772970724,376.1728326181996,1143.7798333582164,0.9424077175925343
28 Malignant,28 Malignant_roi.png,59495,105840,78649,321.9756534785091,276.66334354502703,0.5115258316119572,380.9107507015259,1328.0874452027913,0.7564622563541812
63 Benign,63 Benign_roi.png,28502,40480,29525,242.0115624292261,151.08560762701086,0.7811919840799085,247.68124676688785,679.848809129029,0.9653513971210839
12 Malignant,12 Malignant_roi.png,22292,30070,22994,198.9657630773275,143.84589521713391,0.690881436238682,209.3083849252103,608.9726547895302,0.9694702965991128
101 Malignant,101 Malignant_roi.png,67825,100116,72246,345.179779480997,253.27427729232207,0.6794238953097156,373.72851108792867,1106.3889603929563,0.9388063006948482
83 Malignant,83 Malignant_roi.png,15132,19404,15783,153.84970896273413,127.1609112891236,0.5628973348354606,158.47397262642215,488.634559672906,0.9587530887663942
122 Malignant,122 Malignant_roi.png,40939,59024,44028,265.2658193960487,205.74160329911692,0.6312180729780785,279.6587205863604,848.0559159102155,0.9298401017534297
23 Malignant,23 Malignant_roi.png,96230,152460,109366,389.336507926349,343.23864624863273,0.47199929890557896,411.5385765636072,1480.7220048756974,0.8798895451968619
114 Malignant,114 Malignant_roi.png,70111,119770,88836,352.99822007391344,270.2467454267325,0.6433462070095257,434.3846221955837,1463.17575695736,0.7892183349092711
11 Benign,11 Benign_roi.png,14625,20034,16031,159.79586672816313,122.07332842015144,0.6452956242062577,175.41949720598336,563.9898987322333,0.9122949285758842
75 Benign,75 Benign_roi.png,67082,89022,69965,409.75577079593666,213.71918159669144,0.8532042214069456,402.9900743194552,1093.4528855298854,0.9587936825555635
83 Benign,83 Benign_roi.png,39621,51985,40014,284.0789405106038,179.10719824730006,0.7762023268245849,291.48070262025925,790.9259735953042,0.9901784375468586
1 Malignant,1 Malignant_roi.png,15493,22554,16428,165.26699462459135,123.96113384778002,0.6613631187519748,188.16216410320115,527.8832970144351,0.9430849768687607
53 Malignant,53 Malignant_roi.png,24374,45400,28139,225.68376070948148,146.45776679635762,0.7608299600336521,244.19049940568942,756.5239533417509,0.866199936031842
